13:10:03 | INFO | NeoBrain | 🚀 NeoBrain запущен
13:10:03 | INFO | NeoBrain | 📁 Логи сохраняются в: logs/neobrain_20260810.log
13:10:03 | INFO | NeoBrain | 🔄 Запуск NeoBrain...
13:10:06 | INFO | NeoBrain | ✅ Ollama уже запущена
13:10:10 | INFO | NeoBrain | ✅ Сервер запущен на http://localhost:8000
13:10:10 | INFO | NeoBrain | 🌐 Запуск WebView на http://26.103.204.18:8000
13:26:46 | INFO | NeoBrain | 🚀 NeoBrain запущен
13:26:46 | INFO | NeoBrain | 📁 Логи сохраняются в: logs/neobrain_20260810.log
13:26:46 | INFO | NeoBrain | 🔄 Запуск NeoBrain...
13:26:48 | INFO | NeoBrain | ✅ Ollama уже запущена
13:26:52 | INFO | NeoBrain | ✅ Сервер запущен на http://localhost:8000
13:26:53 | INFO | NeoBrain | 🌐 Запуск WebView на http://26.103.204.18:8000
13:30:18 | INFO | NeoBrain | 🚀 NeoBrain запущен
13:30:18 | INFO | NeoBrain | 📁 Логи сохраняются в: logs/neobrain_20260810.log
13:30:18 | INFO | NeoBrain | 🔄 Запуск NeoBrain...
13:30:20 | INFO | NeoBrain | ✅ Ollama уже запущена
13:30:24 | INFO | NeoBrain | ✅ Сервер запущен на http://localhost:8000
13:30:24 | INFO | NeoBrain | 🌐 Запуск WebView на http://26.103.204.18:8000
